SampleID	Site	Cultivar	Compartment	Run	Description
JE.Soil.101	Sacramento	Soil	Bulk Soil	3	10-M-BS
JE.Soil.102	Sacramento	M104	Rhizosphere	3	10-M-1mm
JE.Soil.103	Sacramento	M104	Rhizoplane	3	10-M-BF
JE.Soil.104	Sacramento	M104	Endosphere	3	10-M-Endo
JE.Soil.105	Sacramento	Soil	Bulk Soil	3	10-I-BS
JE.Soil.106	Sacramento	IR50	Rhizosphere	3	10-I-1mm
JE.Soil.107	Sacramento	IR50	Rhizoplane	3	10-I-BF
JE.Soil.108	Sacramento	IR50	Endosphere	3	10-I-Endo
JE.Soil.109	Sacramento	Soil	Bulk Soil	3	10-9-BS
JE.Soil.110	Sacramento	93-11	Rhizosphere	3	10-9-1mm
JE.Soil.111	Sacramento	93-11	Rhizoplane	3	10-9-BF
JE.Soil.112	Sacramento	93-11	Endosphere	3	10-9-Endo
JE.Soil.113	Sacramento	Soil	Bulk Soil	3	10-E-BS
JE.Soil.115	Sacramento	Glab_E	Rhizoplane	3	10-E-BF
JE.Soil.116	Sacramento	Glab_E	Endosphere	3	10-E-Endo
JE.Soil.117	Sacramento	Soil	Bulk Soil	3	10-B-BS
JE.Soil.118	Sacramento	Glab_B	Rhizosphere	3	10-B-1mm
JE.Soil.119	Sacramento	Glab_B	Rhizoplane	3	10-B-BF
JE.Soil.120	Sacramento	Glab_B	Endosphere	3	10-B-Endo
JE.Soil.121	Sacramento	Soil	Bulk Soil	3	12-N-BS
JE.Soil.122	Sacramento	Nipponebare	Rhizosphere	3	12-N-1mm
JE.Soil.124	Sacramento	Nipponebare	Endosphere	3	12-N-Endo
JE.Soil.125	Sacramento	Soil	Bulk Soil	3	12-M-BS
JE.Soil.126	Sacramento	M104	Rhizosphere	3	12-M-1mm
JE.Soil.127	Sacramento	M104	Rhizoplane	3	12-M-BF
JE.Soil.128	Sacramento	M104	Endosphere	3	12-M-Endo
JE.Soil.129	Sacramento	Soil	Bulk Soil	3	12-I-BS
JE.Soil.130	Sacramento	IR50	Rhizosphere	3	12-I-1mm
JE.Soil.131	Sacramento	IR50	Rhizoplane	3	12-I-BF
JE.Soil.133	Sacramento	Soil	Bulk Soil	3	12-9-BS
JE.Soil.134	Sacramento	93-11	Rhizosphere	3	12-9-1mm
JE.Soil.135	Sacramento	93-11	Rhizoplane	3	12-9-BF
JE.Soil.136	Sacramento	93-11	Endosphere	3	12-9-Endo
JE.Soil.138	Sacramento	Glab_E	Rhizosphere	3	12-E-1mm
JE.Soil.139	Sacramento	Glab_E	Rhizoplane	3	12-E-BF
JE.Soil.141	Sacramento	Soil	Bulk Soil	3	12-B-BS
JE.Soil.142	Sacramento	Glab_B	Rhizosphere	3	12-B-1mm
JE.Soil.143	Sacramento	Glab_B	Rhizoplane	3	12-B-BF
JE.Soil.144	Sacramento	Glab_B	Endosphere	3	12-B-Endo
JE.Soil.177	Arbuckle	Soil	Bulk Soil	4	1-N-BS
JE.Soil.178	Arbuckle	Nipponebare	Rhizosphere	4	1-N-1mm
JE.Soil.179	Arbuckle	Nipponebare	Rhizoplane	4	1-N-BF
JE.Soil.180	Arbuckle	Nipponebare	Endosphere	4	1-N-Endo
JE.Soil.181	Arbuckle	Soil	Bulk Soil	4	1-M-BS
JE.Soil.182	Arbuckle	M104	Rhizosphere	4	1-M-1mm
JE.Soil.183	Arbuckle	M104	Rhizoplane	4	1-M-BF
JE.Soil.184	Arbuckle	M104	Endosphere	4	1-M-Endo
JE.Soil.185	Arbuckle	Soil	Bulk Soil	4	1-I-BS
JE.Soil.186	Arbuckle	IR50	Rhizosphere	4	1-I-1mm
JE.Soil.187	Arbuckle	IR50	Rhizoplane	4	1-I-BF
JE.Soil.188	Arbuckle	IR50	Endosphere	4	1-I-Endo
JE.Soil.189	Arbuckle	Soil	Bulk Soil	4	1-9-BS
JE.Soil.190	Arbuckle	93-11	Rhizosphere	4	1-9-1mm
JE.Soil.191	Arbuckle	93-11	Rhizoplane	4	1-9-BF
JE.Soil.192	Arbuckle	93-11	Endosphere	4	1-9-Endo
JE.Soil.193	Arbuckle	Soil	Bulk Soil	4	1-E-BS
JE.Soil.194	Arbuckle	Glab_E	Rhizosphere	4	1-E-1mm
JE.Soil.195	Arbuckle	Glab_E	Rhizoplane	4	1-E-BF
JE.Soil.196	Arbuckle	Glab_E	Endosphere	4	1-E-Endo
JE.Soil.197	Arbuckle	Soil	Bulk Soil	4	1-B-BS
JE.Soil.198	Arbuckle	Glab_B	Rhizosphere	4	1-B-1mm
JE.Soil.199	Arbuckle	Glab_B	Rhizoplane	4	1-B-BF
JE.Soil.200	Arbuckle	Glab_B	Endosphere	4	1-B-Endo
JE.Soil.202	Arbuckle	Nipponebare	Rhizosphere	4	2-N-1mm
JE.Soil.204	Arbuckle	Nipponebare	Endosphere	4	2-N-Endo
JE.Soil.206	Arbuckle	M104	Rhizosphere	4	2-M-1mm
JE.Soil.208	Arbuckle	M104	Endosphere	4	2-M-Endo
JE.Soil.210	Arbuckle	IR50	Rhizosphere	4	2-I-1mm
JE.Soil.211	Arbuckle	IR50	Rhizoplane	4	2-I-BF
JE.Soil.212	Arbuckle	IR50	Endosphere	4	2-I-Endo
JE.Soil.214	Arbuckle	93-11	Rhizosphere	4	2-9-1mm
JE.Soil.215	Arbuckle	93-11	Rhizoplane	4	2-9-BF
JE.Soil.216	Arbuckle	93-11	Endosphere	4	2-9-Endo
JE.Soil.218	Arbuckle	Glab_E	Rhizosphere	4	2-E-1mm
JE.Soil.219	Arbuckle	Glab_E	Rhizoplane	4	2-E-BF
JE.Soil.220	Arbuckle	Glab_E	Endosphere	4	2-E-Endo
JE.Soil.222	Arbuckle	Glab_B	Rhizosphere	4	2-B-1mm
JE.Soil.223	Arbuckle	Glab_B	Rhizoplane	4	2-B-BF
JE.Soil.224	Arbuckle	Glab_B	Endosphere	4	2-B-Endo
JE.Soil.227	Davis	Nipponebare	Rhizoplane	4	6-N-BF
JE.Soil.228	Davis	Nipponebare	Endosphere	4	6-N-Endo
JE.Soil.229	Davis	Soil	Bulk Soil	4	6-M-BS
JE.Soil.231	Davis	M104	Rhizoplane	4	6-M-BF
JE.Soil.232	Davis	M104	Endosphere	4	6-M-Endo
JE.Soil.233	Davis	Soil	Bulk Soil	4	6-I-BS
JE.Soil.234	Davis	IR50	Rhizosphere	4	6-I-1mm
JE.Soil.235	Davis	IR50	Rhizoplane	4	6-I-BF
JE.Soil.236	Davis	IR50	Endosphere	4	6-I-Endo
JE.Soil.239	Davis	93-11	Rhizoplane	4	6-9-BF
JE.Soil.240	Davis	93-11	Endosphere	4	6-9-Endo
JE.Soil.241	Davis	Soil	Bulk Soil	4	6-E-BS
JE.Soil.244	Davis	Glab_E	Endosphere	4	6-E-Endo
JE.Soil.248	Davis	Glab_B	Endosphere	4	6-B-Endo
JE.Soil.249	Davis	Soil	Bulk Soil	4	8-N-BS
JE.Soil.250	Davis	Nipponebare	Rhizosphere	4	8-N-1mm
JE.Soil.252	Davis	Nipponebare	Endosphere	4	8-N-Endo
JE.Soil.253	Davis	Soil	Bulk Soil	4	8-M-BS
JE.Soil.254	Davis	M104	Rhizosphere	4	8-M-1mm
JE.Soil.256	Davis	M104	Endosphere	4	8-M-Endo
JE.Soil.257	Davis	Soil	Bulk Soil	4	8-I-BS
JE.Soil.258	Davis	IR50	Rhizosphere	4	8-I-1mm
JE.Soil.260	Davis	IR50	Endosphere	4	8-I-Endo
JE.Soil.262	Davis	93-11	Rhizosphere	4	8-9-1mm
JE.Soil.264	Davis	93-11	Endosphere	4	8-9-Endo
JE.Soil.265	Davis	Soil	Bulk Soil	4	8-E-BS
JE.Soil.266	Davis	Glab_E	Rhizosphere	4	8-E-1mm
JE.Soil.268	Davis	Glab_E	Endosphere	4	8-E-Endo
JE.Soil.269	Davis	Soil	Bulk Soil	4	8-B-BS
JE.Soil.270	Davis	Glab_B	Rhizosphere	4	8-B-1mm
JE.Soil.272	Davis	Glab_B	Endosphere	4	8-B-Endo
JE.Soil.273	Sacramento	Soil	Bulk Soil	4	9-N-BS
JE.Soil.274	Sacramento	Nipponebare	Rhizosphere	4	9-N-1mm
JE.Soil.276	Sacramento	Nipponebare	Endosphere	4	9-N-Endo
JE.Soil.278	Sacramento	M104	Rhizosphere	4	9-M-1mm
JE.Soil.279	Sacramento	M104	Rhizoplane	4	9-M-BF
JE.Soil.280	Sacramento	M104	Endosphere	4	9-M-Endo
JE.Soil.281	Sacramento	Soil	Bulk Soil	4	9-I-BS
JE.Soil.282	Sacramento	IR50	Rhizosphere	4	9-I-1mm
JE.Soil.283	Sacramento	IR50	Rhizoplane	4	9-I-BF
JE.Soil.284	Sacramento	IR50	Endosphere	4	9-I-Endo
JE.Soil.285	Sacramento	Soil	Bulk Soil	4	9-9-BS
JE.Soil.286	Sacramento	93-11	Rhizosphere	4	9-9-1mm
JE.Soil.287	Sacramento	93-11	Rhizoplane	4	9-9-BF
JE.Soil.288	Sacramento	93-11	Endosphere	4	9-9-Endo
JE.Soil.290	Sacramento	Glab_E	Rhizosphere	4	9-E-1mm
JE.Soil.291	Sacramento	Glab_E	Rhizoplane	4	9-E-BF
JE.Soil.293	Sacramento	Soil	Bulk Soil	4	9-B-BS
JE.Soil.294	Sacramento	Glab_B	Rhizosphere	4	9-B-1mm
JE.Soil.295	Sacramento	Glab_B	Rhizoplane	4	9-B-BF
JE.Soil.296	Sacramento	Glab_B	Endosphere	4	9-B-Endo
JE.Soil.298	Sacramento	Nipponebare	Rhizosphere	4	11-N-1mm
JE.Soil.300	Sacramento	Nipponebare	Endosphere	4	11-N-Endo
JE.Soil.301	Sacramento	Soil	Bulk Soil	4	11-M-BS
JE.Soil.302	Sacramento	M104	Rhizosphere	4	11-M-1mm
JE.Soil.303	Sacramento	M104	Rhizoplane	4	11-M-BF
JE.Soil.304	Sacramento	M104	Endosphere	4	11-M-Endo
JE.Soil.307	Sacramento	IR50	Rhizoplane	4	11-I-BF
JE.Soil.308	Sacramento	IR50	Endosphere	4	11-I-Endo
JE.Soil.309	Sacramento	Soil	Bulk Soil	4	11-9-BS
JE.Soil.310	Sacramento	93-11	Rhizosphere	4	11-9-1mm
JE.Soil.312	Sacramento	93-11	Endosphere	4	11-9-Endo
JE.Soil.314	Sacramento	Glab_E	Rhizosphere	4	11-E-1mm
JE.Soil.315	Sacramento	Glab_E	Rhizoplane	4	11-E-BF
JE.Soil.316	Sacramento	Glab_E	Endosphere	4	11-E-Endo
JE.Soil.318	Sacramento	Glab_B	Rhizosphere	4	11-B-1mm
JE.Soil.319	Sacramento	Glab_B	Rhizoplane	4	11-B-BF
JE.Soil.320	Sacramento	Glab_B	Endosphere	4	11-B-Endo
