BioSample_s	BioSampleModel_s	Cultivar_s	Experiment_s	ID_s	InsertSize_l	LibraryLayout_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Plant_s	ReleaseDate_s	Rice_Field_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	geo_loc_name_s	host_s	lat_lon_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN02928835	MIMS.me	<not provided>	SRX659907	<not provided>	250	PAIRED	FieldRun1	2016-06-09	31	21	4	2014-07-26	Ditaler_18	SRR1524331	SRS664906	JE.Lundberg.11	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928836	MIMS.me	<not provided>	SRX659909	<not provided>	250	PAIRED	FieldRun1	2016-06-09	33	22	4	2014-07-26	Ditaler_18	SRR1524336	SRS664907	JE.Lundberg.12	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928837	MIMS.me	<not provided>	SRX659910	<not provided>	250	PAIRED	FieldRun1	2016-06-09	12	8	5	2014-07-26	Ditaler_18	SRR1524337	SRS664909	JE.Lundberg.13	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928838	MIMS.me	<not provided>	SRX659911	<not provided>	250	PAIRED	FieldRun1	2016-06-09	32	21	5	2014-07-26	Ditaler_18	SRR1524338	SRS664910	JE.Lundberg.15	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929700	MIMS.me	M104	SRX659912	JE.Soil.6	250	PAIRED	GHRun1	2016-06-09	17	10	<not provided>	2014-07-26	<not provided>	SRR1524364	SRS664911	JE.Soil.6	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928839	MIMS.me	<not provided>	SRX659913	<not provided>	250	PAIRED	FieldRun1	2016-06-09	53	36	6	2014-07-26	Ditaler_18	SRR1524339	SRS664912	JE.Lundberg.16	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928840	MIMS.me	<not provided>	SRX659915	<not provided>	250	PAIRED	FieldRun1	2016-06-09	43	29	6	2014-07-26	Ditaler_18	SRR1524340	SRS664914	JE.Lundberg.17	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928841	MIMS.me	<not provided>	SRX659916	<not provided>	250	PAIRED	FieldRun1	2016-06-09	31	21	6	2014-07-26	Ditaler_18	SRR1524341	SRS664915	JE.Lundberg.18	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928842	MIMS.me	<not provided>	SRX659917	<not provided>	250	PAIRED	FieldRun1	2016-06-09	50	34	7	2014-07-26	Ditaler_18	SRR1524342	SRS664916	JE.Lundberg.19	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928843	MIMS.me	<not provided>	SRX659918	<not provided>	250	PAIRED	FieldRun1	2016-06-09	27	18	7	2014-07-26	Ditaler_18	SRR1524343	SRS664917	JE.Lundberg.20	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928844	MIMS.me	<not provided>	SRX659919	<not provided>	250	PAIRED	FieldRun1	2016-06-09	34	23	7	2014-07-26	Ditaler_18	SRR1524344	SRS664918	JE.Lundberg.21	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928845	MIMS.me	<not provided>	SRX659920	<not provided>	250	PAIRED	FieldRun1	2016-06-09	48	32	8	2014-07-26	Ditaler_18	SRR1524345	SRS664919	JE.Lundberg.22	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928846	MIMS.me	<not provided>	SRX659921	<not provided>	250	PAIRED	FieldRun1	2016-06-09	43	28	8	2014-07-26	Ditaler_18	SRR1524346	SRS664920	JE.Lundberg.23	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928847	MIMS.me	<not provided>	SRX659922	<not provided>	250	PAIRED	FieldRun1	2016-06-09	31	20	8	2014-07-26	Ditaler_18	SRR1524347	SRS664921	JE.Lundberg.24	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928848	MIMS.me	<not provided>	SRX659923	<not provided>	250	PAIRED	FieldRun1	2016-06-09	39	27	1	2014-07-26	Spooner_Airstrip	SRR1524348	SRS664922	JE.Lundberg.49	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928849	MIMS.me	<not provided>	SRX659924	<not provided>	250	PAIRED	FieldRun1	2016-06-09	47	32	1	2014-07-26	Spooner_Airstrip	SRR1524349	SRS664923	JE.Lundberg.50	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928850	MIMS.me	<not provided>	SRX659925	<not provided>	250	PAIRED	FieldRun1	2016-06-09	26	17	1	2014-07-26	Spooner_Airstrip	SRR1524350	SRS664924	JE.Lundberg.51	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928851	MIMS.me	<not provided>	SRX659926	<not provided>	250	PAIRED	FieldRun1	2016-06-09	36	24	2	2014-07-26	Spooner_Airstrip	SRR1524351	SRS664925	JE.Lundberg.52	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928852	MIMS.me	<not provided>	SRX659927	<not provided>	250	PAIRED	FieldRun1	2016-06-09	26	18	2	2014-07-26	Spooner_Airstrip	SRR1524352	SRS664926	JE.Lundberg.53	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928853	MIMS.me	<not provided>	SRX659928	<not provided>	250	PAIRED	FieldRun1	2016-06-09	35	24	2	2014-07-26	Spooner_Airstrip	SRR1524353	SRS664927	JE.Lundberg.54	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928854	MIMS.me	<not provided>	SRX659929	<not provided>	250	PAIRED	FieldRun1	2016-06-09	34	23	3	2014-07-26	Spooner_Airstrip	SRR1524354	SRS664928	JE.Lundberg.55	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928855	MIMS.me	<not provided>	SRX659930	<not provided>	250	PAIRED	FieldRun1	2016-06-09	35	24	3	2014-07-26	Spooner_Airstrip	SRR1524355	SRS664929	JE.Lundberg.56	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928856	MIMS.me	<not provided>	SRX659932	<not provided>	250	PAIRED	FieldRun1	2016-06-09	32	22	3	2014-07-26	Spooner_Airstrip	SRR1524356	SRS664931	JE.Lundberg.57	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928857	MIMS.me	<not provided>	SRX659933	<not provided>	250	PAIRED	FieldRun1	2016-06-09	29	19	4	2014-07-26	Spooner_Airstrip	SRR1524358	SRS664932	JE.Lundberg.58	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928858	MIMS.me	<not provided>	SRX659934	<not provided>	250	PAIRED	FieldRun1	2016-06-09	30	20	4	2014-07-26	Spooner_Airstrip	SRR1524360	SRS664933	JE.Lundberg.59	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928859	MIMS.me	<not provided>	SRX659935	<not provided>	250	PAIRED	FieldRun1	2016-06-09	30	21	4	2014-07-26	Spooner_Airstrip	SRR1524361	SRS664934	JE.Lundberg.60	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928860	MIMS.me	<not provided>	SRX659936	<not provided>	250	PAIRED	FieldRun1	2016-06-09	33	22	5	2014-07-26	Spooner_Airstrip	SRR1524362	SRS664935	JE.Lundberg.61	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928861	MIMS.me	<not provided>	SRX659937	<not provided>	250	PAIRED	FieldRun1	2016-06-09	35	24	5	2014-07-26	Spooner_Airstrip	SRR1524365	SRS664936	JE.Lundberg.62	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929701	MIMS.me	M104	SRX659914	JE.Soil.7	250	PAIRED	GHRun1	2016-06-09	42	25	<not provided>	2014-07-26	<not provided>	SRR1524366	SRS664913	JE.Soil.7	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928863	MIMS.me	<not provided>	SRX659939	<not provided>	250	PAIRED	FieldRun1	2016-06-09	26	18	6	2014-07-26	Spooner_Airstrip	SRR1524367	SRS664937	JE.Lundberg.64	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928862	MIMS.me	<not provided>	SRX659938	<not provided>	250	PAIRED	FieldRun1	2016-06-09	30	20	5	2014-07-26	Spooner_Airstrip	SRR1524369	SRS664938	JE.Lundberg.63	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928864	MIMS.me	<not provided>	SRX659940	<not provided>	250	PAIRED	FieldRun1	2016-06-09	36	24	6	2014-07-26	Spooner_Airstrip	SRR1524370	SRS664939	JE.Lundberg.65	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928865	MIMS.me	<not provided>	SRX659941	<not provided>	250	PAIRED	FieldRun1	2016-06-09	33	23	6	2014-07-26	Spooner_Airstrip	SRR1524380	SRS664940	JE.Lundberg.66	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928866	MIMS.me	<not provided>	SRX659942	<not provided>	250	PAIRED	FieldRun1	2016-06-09	36	24	7	2014-07-26	Spooner_Airstrip	SRR1524383	SRS664941	JE.Lundberg.67	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928867	MIMS.me	<not provided>	SRX659951	<not provided>	250	PAIRED	FieldRun1	2016-06-09	29	20	7	2014-07-26	Spooner_Airstrip	SRR1524385	SRS664950	JE.Lundberg.68	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928869	MIMS.me	<not provided>	SRX659953	<not provided>	250	PAIRED	FieldRun1	2016-06-09	39	26	8	2014-07-26	Spooner_Airstrip	SRR1524388	SRS664951	JE.Lundberg.70	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928868	MIMS.me	<not provided>	SRX659952	<not provided>	250	PAIRED	FieldRun1	2016-06-09	31	21	7	2014-07-26	Spooner_Airstrip	SRR1524390	SRS664952	JE.Lundberg.69	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928870	MIMS.me	<not provided>	SRX659954	<not provided>	250	PAIRED	FieldRun1	2016-06-09	34	23	8	2014-07-26	Spooner_Airstrip	SRR1524392	SRS664953	JE.Lundberg.71	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928871	MIMS.me	<not provided>	SRX659955	<not provided>	250	PAIRED	FieldRun1	2016-06-09	36	24	8	2014-07-26	Spooner_Airstrip	SRR1524394	SRS664954	JE.Lundberg.72	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.47778 N 122.17889 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
